"contrast","estimate","SE","df","z.ratio","p.value"
"CRF - FWC",-0.0784842135642447,0.60807416015448,Inf,-0.129070134380165,0.999937610133627
"CRF - MML",-1.04952170038728,0.304351539527914,Inf,-3.44838636931232,0.00511281050349344
"CRF - RR",-0.386193716280162,0.338634943195126,Inf,-1.14044260357866,0.784996424495792
"CRF - UM",-0.849552431689801,0.627274786997255,Inf,-1.35435450188678,0.656985120845184
"FWC - MML",-0.971037486823036,0.634622714422837,Inf,-1.53010200352843,0.54276055755139
"FWC - RR",-0.307709502715917,0.652330831684617,Inf,-0.471707740566654,0.989880726537527
"FWC - UM",-0.771068218125557,0.838989001335529,Inf,-0.919044489138887,0.889681472152288
"MML - RR",0.663327984107119,0.3818813532933,Inf,1.73700019230228,0.41111086344804
"MML - UM",0.199969268697479,0.646401965305165,Inf,0.30935745779033,0.998015278019145
"RR - UM",-0.46335871540964,0.668598083624611,Inf,-0.693030277469051,0.958065867257297
